"YEAR","MONTH","DAY","STID","TMAX","TMIN","TAVG","DAVG","HMAX","HMIN","HAVG","PDIR","PDFQ","SDIR","SDFQ","WSMX","WSMN","WSPD","WDEV","WMAX","2AVG","2DEV","PMAX","PMIN","PAVG","MSLP","RAIN","HMAXO","HMINO"
1994,1,1,NORM,-996.00,-996.00,-996.00,-996.00,89.80,42.77,64.29,14,32.84,15,21.77,18.90,0.01,8.47,4.10,23.67,5.53,3.88,-996.00,-996.00,-996.00,-996.00,0.00,285,198
1994,1,2,NORM,-996.00,-996.00,-996.00,-996.00,97.70,43.87,73.24,7,40.97,15,31.25,26.60,3.00,13.05,5.21,35.30,9.56,4.65,-996.00,-996.00,-996.00,-996.00,0.04,257,161
1994,1,3,NORM,-996.00,-996.00,-996.00,-996.00,84.00,48.25,68.47,15,47.89,14,9.96,24.14,0.00,10.09,5.80,36.24,7.54,4.74,-996.00,-996.00,-996.00,-996.00,0.00,82,199
1994,1,4,NORM,-996.00,-996.00,-996.00,-996.00,89.60,53.02,70.27,15,31.94,0,25.69,26.33,2.58,13.35,6.77,36.39,9.88,5.82,-996.00,-996.00,-996.00,-996.00,0.00,281,17
1994,1,5,NORM,-996.00,-996.00,-996.00,-996.00,94.80,24.14,57.79,8,55.90,9,36.81,31.94,8.39,19.96,5.75,45.81,15.30,4.88,-996.00,-996.00,-996.00,-996.00,0.00,57,180
1994,1,6,NORM,-996.00,-996.00,-996.00,-996.00,83.60,28.81,66.39,0,52.78,15,13.19,23.73,3.70,15.74,3.53,31.05,12.23,3.21,-996.00,-996.00,-996.00,-996.00,0.00,256,1
1994,1,7,NORM,-996.00,-996.00,-996.00,-996.00,70.72,32.40,51.03,0,49.47,8,15.55,24.96,1.72,12.73,6.33,35.66,9.72,5.54,-996.00,-996.00,-996.00,-996.00,0.00,45,179
1994,1,8,NORM,-996.00,-996.00,-996.00,-996.00,77.71,38.35,57.65,8,33.10,7,24.56,13.17,0.79,6.90,1.85,18.34,4.52,1.93,-996.00,-996.00,-996.00,-996.00,0.00,288,185
1994,1,9,NORM,-996.00,-996.00,-996.00,-996.00,85.80,36.36,67.30,8,43.75,7,23.26,28.39,5.47,15.72,7.05,35.95,11.66,6.22,-996.00,-996.00,-996.00,-996.00,0.00,24,164
1994,1,10,NORM,-996.00,-996.00,-996.00,-996.00,98.00,62.40,84.26,8,65.85,7,13.73,25.12,1.79,13.85,6.54,33.46,10.42,5.45,-996.00,-996.00,-996.00,-996.00,0.00,226,258
1994,1,11,NORM,-996.00,-996.00,-996.00,-996.00,100.00,49.30,78.42,15,29.37,2,21.68,12.54,1.44,6.58,2.05,16.44,4.83,1.95,-996.00,-996.00,-996.00,-996.00,0.00,249,184
1994,1,12,NORM,-996.00,-996.00,-996.00,-996.00,100.00,49.16,85.74,15,18.01,10,13.60,11.22,0.62,5.37,2.17,13.59,3.88,1.90,-996.00,-996.00,-996.00,-996.00,0.00,1,186
1994,1,13,NORM,-996.00,-996.00,-996.00,-996.00,100.00,24.53,69.53,13,25.00,15,20.29,23.31,0.21,7.90,5.04,29.59,5.42,4.37,-996.00,-996.00,-996.00,-996.00,0.00,16,171
1994,1,14,NORM,-996.00,-996.00,-996.00,-996.00,92.10,45.27,70.01,3,35.00,2,24.23,16.34,0.12,7.71,3.70,21.41,5.78,3.17,-996.00,-996.00,-996.00,-996.00,0.00,67,190
1994,1,15,NORM,-996.00,-996.00,-996.00,-996.00,87.60,36.21,61.62,3,39.58,4,34.03,16.28,4.00,10.21,2.26,20.18,7.47,2.03,-996.00,-996.00,-996.00,-996.00,0.00,52,192
1994,1,16,NORM,-996.00,-996.00,-996.00,-996.00,100.00,56.89,81.50,8,40.28,0,17.36,23.98,2.72,13.82,4.96,31.14,10.74,3.79,-996.00,-996.00,-996.00,-996.00,0.04,193,4
1994,1,17,NORM,-996.00,-996.00,-996.00,-996.00,85.20,45.71,62.47,2,36.81,0,35.42,20.33,6.10,12.21,2.72,27.34,9.85,2.05,-996.00,-996.00,-996.00,-996.00,0.00,4,185
1994,1,18,NORM,-996.00,-996.00,-996.00,-996.00,75.78,42.62,60.75,2,48.43,6,14.63,13.90,2.10,8.55,2.16,18.57,6.60,2.06,-996.00,-996.00,-996.00,-996.00,0.00,43,188
1994,1,19,NORM,-996.00,-996.00,-996.00,-996.00,91.60,58.15,77.87,9,32.64,8,28.82,23.40,4.29,12.17,5.29,30.47,9.07,4.72,-996.00,-996.00,-996.00,-996.00,0.00,288,149
1994,1,20,NORM,-996.00,-996.00,-996.00,-996.00,93.90,53.41,73.27,2,39.24,1,24.65,16.28,4.24,8.97,2.85,21.77,6.62,2.85,-996.00,-996.00,-996.00,-996.00,0.00,22,163
1994,1,21,NORM,-996.00,-996.00,-996.00,-996.00,97.70,52.16,75.01,9,37.88,8,21.21,11.65,1.08,5.79,2.57,15.93,4.31,2.37,-996.00,-996.00,-996.00,-996.00,0.00,94,173
1994,1,22,NORM,-996.00,-996.00,-996.00,-996.00,100.00,72.72,93.67,9,92.71,10,4.51,16.28,4.28,11.68,2.17,21.56,9.15,1.71,-996.00,-996.00,-996.00,-996.00,0.02,251,1
1994,1,23,NORM,-996.00,-996.00,-996.00,-996.00,100.00,85.40,96.24,10,58.33,9,29.51,14.55,4.59,9.52,1.92,20.38,7.32,1.66,-996.00,-996.00,-996.00,-996.00,0.02,1,193
1994,1,24,NORM,-996.00,-996.00,-996.00,-996.00,100.00,91.60,98.52,8,65.85,9,33.10,16.49,4.84,10.91,2.30,21.34,8.25,1.84,-996.00,-996.00,-996.00,-996.00,0.00,54,175
1994,1,25,NORM,-996.00,-996.00,-996.00,-996.00,100.00,54.55,88.57,0,14.23,11,13.50,16.90,1.07,7.43,3.60,24.63,5.69,2.80,-996.00,-996.00,-996.00,-996.00,0.00,245,172
1994,1,26,NORM,-996.00,-996.00,-996.00,-996.00,100.00,24.72,67.78,10,30.31,4,18.82,22.84,1.17,12.18,4.16,31.05,8.91,3.80,-996.00,-996.00,-996.00,-996.00,0.03,37,178
1994,1,27,NORM,-996.00,-996.00,-996.00,-996.00,90.10,46.36,69.06,14,64.58,15,35.42,21.39,7.80,14.15,3.15,29.30,10.81,2.56,-996.00,-996.00,-996.00,-996.00,0.00,26,179
1994,1,28,NORM,-996.00,-996.00,-996.00,-996.00,88.20,50.92,68.45,15,62.03,0,15.79,23.17,0.00,10.74,5.73,29.75,8.20,4.73,-996.00,-996.00,-996.00,-996.00,0.00,285,173
1994,1,29,NORM,-996.00,-996.00,-996.00,-996.00,94.10,41.88,76.47,-996,-999.00,-996,-999.00,8.11,0.07,4.23,1.79,10.60,2.74,1.35,-996.00,-996.00,-996.00,-996.00,0.00,33,190
1994,1,30,NORM,-996.00,-996.00,-996.00,-996.00,98.50,68.66,83.97,3,31.36,0,21.95,15.74,2.21,9.43,3.19,20.89,7.20,2.68,-996.00,-996.00,-996.00,-996.00,0.00,60,112
1994,1,31,NORM,-996.00,-996.00,-996.00,-996.00,-996.00,-996.00,-996.00,-996,-999.00,-996,-999.00,-996.00,-996.00,-996.00,-996.00,20.31,-996.00,-996.00,-996.00,-996.00,-996.00,-996.00,-996.00,999,999
1994,2,1,NORM,-996.00,-996.00,-996.00,-996.00,-996.00,-996.00,-996.00,-996,-999.00,-996,-999.00,-996.00,-996.00,-996.00,-996.00,31.14,-996.00,-996.00,-996.00,-996.00,-996.00,-996.00,-996.00,999,999
1994,2,2,NORM,-996.00,-996.00,-996.00,-996.00,93.80,23.44,58.67,10,29.96,9,19.86,18.75,0.01,7.93,4.30,26.66,5.78,3.85,-996.00,-996.00,-996.00,-996.00,0.00,54,170
1994,2,3,NORM,-996.00,-996.00,-996.00,-996.00,89.80,26.18,58.64,8,49.43,9,26.44,26.84,0.00,12.58,7.87,33.53,9.40,6.70,-996.00,-996.00,-996.00,-996.00,0.00,91,184
1994,2,4,NORM,-996.00,-996.00,-996.00,-996.00,97.40,45.16,68.53,-996,-999.00,-996,-999.00,20.67,0.15,8.60,5.89,27.47,6.50,4.71,-996.00,-996.00,-996.00,-996.00,0.00,64,208
1994,2,5,NORM,-996.00,-996.00,-996.00,-996.00,-996.00,-996.00,-996.00,-996,-999.00,-996,-999.00,-996.00,-996.00,-996.00,-996.00,20.38,-996.00,-996.00,-996.00,-996.00,-996.00,-996.00,0.01,999,999
1994,2,6,NORM,-996.00,-996.00,-996.00,-996.00,92.30,28.51,62.87,-996,-999.00,-996,-999.00,13.56,0.00,5.42,2.71,16.52,3.63,2.60,-996.00,-996.00,-996.00,-996.00,0.00,93,199
1994,2,7,NORM,-996.00,-996.00,-996.00,-996.00,87.40,55.47,70.95,-996,-999.00,-996,-999.00,16.14,0.00,7.88,4.68,20.31,5.75,4.39,-996.00,-996.00,-996.00,-996.00,0.00,99,129
1994,2,8,NORM,-996.00,-996.00,-996.00,-996.00,100.00,64.86,91.57,0,53.19,1,23.76,25.23,0.46,9.83,5.27,33.24,7.70,4.26,-996.00,-996.00,-996.00,-996.00,0.00,126,1
1994,2,9,NORM,-996.00,-996.00,-996.00,-996.00,71.78,44.42,56.97,0,40.97,1,40.62,26.35,4.29,15.31,5.44,35.37,12.31,4.49,-996.00,-996.00,-996.00,-996.00,0.00,1,200
1994,2,10,NORM,-996.00,-996.00,-996.00,-996.00,83.60,42.94,62.84,2,37.37,1,37.01,11.82,1.25,6.50,2.19,19.51,4.93,2.27,-996.00,-996.00,-996.00,-996.00,0.00,95,192
1994,2,11,NORM,-996.00,-996.00,-996.00,-996.00,84.80,16.19,58.73,7,34.98,8,22.43,26.91,0.22,10.55,6.65,33.46,7.89,5.46,-996.00,-996.00,-996.00,-996.00,0.00,76,161
1994,2,12,NORM,-996.00,-996.00,-996.00,-996.00,96.00,41.76,64.50,15,51.04,8,12.50,28.16,6.43,17.60,5.93,35.72,13.47,4.88,-996.00,-996.00,-996.00,-996.00,0.00,75,176
1994,2,13,NORM,-996.00,-996.00,-996.00,-996.00,80.50,19.54,48.87,13,24.65,14,22.92,10.69,2.31,6.25,1.54,16.59,3.97,1.22,-996.00,-996.00,-996.00,-996.00,0.00,87,205
1994,2,14,NORM,-996.00,-996.00,-996.00,-996.00,65.12,15.29,36.31,9,66.67,8,30.21,23.94,3.65,12.45,4.45,33.40,8.97,4.28,-996.00,-996.00,-996.00,-996.00,0.00,63,164
1994,2,15,NORM,-996.00,-996.00,-996.00,-996.00,68.12,21.90,42.64,5,20.31,4,16.48,10.77,1.01,4.71,1.98,16.00,2.64,1.93,-996.00,-996.00,-996.00,-996.00,0.00,81,203
1994,2,16,NORM,-996.00,-996.00,-996.00,-996.00,-996.00,-996.00,-996.00,-996,-999.00,-996,-999.00,-996.00,-996.00,-996.00,-996.00,24.85,-996.00,-996.00,-996.00,-996.00,-996.00,-996.00,0.00,999,999
