#,SPC,Date,Time,Path,Path,F-Scale,Killed,Injured,County,Path
,ID #,,(CST),Length,Width,,,,,
,,,,(miles),(yards),,,,,
1,53-7,3/13/1953,1845,2,100,F2,0,2,McClain,Washington
2,53-12,4/2/1953,2158,n/a,n/a,F0,0,0,McClain,6 NW Lindsay
3,56-20,4/28/1956,1420,35,n/a,F1,0,0,Grady/ McClain/ Cleveland,5 S Chickasha - 3 E Norman
4,57-75,5/24/1957,1800,31,440,F2,0,0,Garvin/ McClain/ Pottawatomie,SW of Wynnewood - Wynnewood; S of Wanette - Wanette - 6 NW McComb
5,57-78,5/24/1957,2100,n/a,n/a,F1,0,0,McClain,SW of Purcell
6,59-66,9/3/1959,745,n/a,n/a,F0,0,0,McClain,Near Purcell
7,60-85,5/23/1960,2030,1.5,33,F1,0,0,McClain,2 NW Newcastle
8,61-1,2/17/1961,1630,0.5,15,F?,0,0,McClain,12 SW Purcell
9,62-30,5/26/1962,2058,5,100,F2,0,0,McClain/ Cleveland,1 NE- ~5 E Goldsby
10,64-5,4/3/1964,1830,n/a,n/a,F?,0,0,McClain,Near Newcastle
11,65-9,4/5/1965,1330,n/a,n/a,F1,0,0,McClain,Near Purcell
12,65-21,4/14/1965,1730,n/a,n/a,F0,0,0,McClain,4 NE Dibble
13,72-29,12/29/1972,2015,15,40,F2,0,0,McClain/ Cleveland,10 SW Purcell - 4 ESE Lexington
14,73-69,11/19/1973,1930,24,500,F3,5,46,McClain/ Cleveland/ Oklahoma,Blanchard - Moore - Del City - SE Oklahoma City
15,77-6,3/2/1977,1630,6,100,F1,0,0,Grady/ McClain,Near Blanchard
16,79-41,8/21/1979,1930,n/a,n/a,F0,0,0,McClain,Between Criner and Washington
17,81-20,5/17/1981,1646,4,100,F1,0,0,McClain/ Cleveland,3 SSW Noble
18,82-86,6/11/1982,300,1,50,F2,0,0,McClain,Old Goldsby Airport
19,82-92,8/27/1982,1600,1,50,F2,0,0,McClain,5 N Purcell
20,84-37,5/27/1984,1735,7,100,F0,0,0,McClain,2 SSE- 9 SE Goldsby
21,84-38,5/27/1984,1745,6,100,F0,0,0,Cleveland/ McClain,3 S- 8 SSE Noble
22,85-6,3/26/1985,2047,0.1,5,F1,0,0,McClain,3 SW Payne
