#,SPC,Date,Time,Path,Path,F-Scale,Killed,Injured,County,Path
,ID #,,(CST),Length,Width,,,,,
,,,,(miles),(yards),,,,,
1,51-2,2/19/1951,2200,n/a,100,F0,0,0,Cleveland,4 S Norman
2,51-3,4/5/1951,1320,6,127,F2,0,0,Cleveland,NW of Norman (near Newcastle) - NW of Moore
3,53-8,3/13/1953,1930,1.3,250,F2,0,0,Cleveland,11 E Norman
4,55-39,5/26/1955,300,12,70,F1,0,0,Cleveland,Near Norman
5,56-20,4/28/1956,1420,35,n/a,F1,0,0,Grady/ McClain/ Cleveland,5 S Chickasha - 3 E Norman
6,57-102,9/14/1957,1730,68,440,F4,2,6,Cleveland/ Pottawatomie/ Seminole/ Hughes,Southern Cleveland County NW of Wayne - near Sacred Heart - near Konawa - near Wetumka
7,60-24,4/28/1960,2058,8,500,F2,0,0,Cleveland,W and N of Moore
8,60-25,4/28/1960,2105,4,400,F2,0,6,Cleveland,Moore
9,60-26,4/28/1960,2100,n/a,n/a,F2,0,0,Cleveland,13 NE Lexington
10,60-37,5/4/1960,1945,5,50,F2,0,0,Cleveland,Noble - 5 NE Noble
11,60-44,5/5/1960,1500,102 *,400,F3,0,0,Cleveland/ Pottawatomie/ Lincoln/ Creek/ Tulsa,* tornado family. SW of Corbett - Tribbey- Macomb -2 W Tecumseh; near Bellmont - Depew - 4 W Sand Springs
12,60-70,5/19/1960,1625,n/a,n/a,F2,0,0,Cleveland,Moore
13,61-43,5/6/1961,2350,n/a,n/a,F?,0,0,Cleveland,Between Moore and Norman
14,61-44,5/7/1961,45,n/a,n/a,F?,0,0,Cleveland,Near Moore
15,62-3,4/27/1962,40,n/a,n/a,F?,0,0,Cleveland,1 SSW Norman
16,62-30,5/26/1962,2058,5,100,F2,0,0,McClain/ Cleveland,1 NE- ~5 E Goldsby
17,63-25,9/11/1963,1515,1,50,F1,0,0,Cleveland,SW edge and S of Noble
18,64-6,4/3/1964,1840,n/a,n/a,F?,0,0,Cleveland,SW Norman (3 SW NSSL)
19,65-68,8/31/1965,1415,12,50,F0,0,0,Oklahoma/ Cleveland,Near SW 80th/May - NW Corner of Moore - SE Oklahoma City
20,65-69,8/31/1965,1420,n/a,n/a,F0,0,0,Cleveland,Oklahoma City (near S May and the Canadian River)
21,66-19,5/17/1966,2215,0.4,15,F0,0,0,Cleveland,Norman (near Berry and Dorchester)
22,66-34,7/23/1966,534,n/a,n/a,F0,0,0,Cleveland,Near Noble
23,70-43,10/5/1970,1540,24,200,F2,0,1,Cleveland/ Pottawatomie,5 NE Lexington - 8 SE Tecumseh
24,72-29,12/29/1972,2015,15,40,F2,0,0,McClain/ Cleveland,10 SW Purcell - 4 ESE Lexington
25,73-45,6/4/1973,1912,0.4,15,F0,0,0,Cleveland,Norman (3 W NSSL)
26,73-69,11/19/1973,1930,24,500,F3,5,46,McClain/ Cleveland/ Oklahoma,Blanchard - Moore - Del City - SE Oklahoma City
27,74-1,2/18/1974,1448,0.1,15,F0,0,0,Cleveland,5 SE Noble
28,74-40,8/1/1974,1540,1,50,F1,0,0,Cleveland,Moore (near NW 2nd/Santa Fe)
29,75-12,5/13/1975,1515,2,50,F2,0,0,Cleveland,OKC (southeast of SW 89th/ Western) - N Moore
30,77-10,3/10/1977,2050,5,75,F1,0,0,Cleveland,Noble - 4 NE Noble
31,77-46,5/21/1977,200,n/a,50,F0,0,0,Cleveland,Near Hall Park
32,79-13,4/10/1979,1840,2,n/a,F2,0,0,Cleveland,6 N Purcell
33,79-15,4/10/1979,1850,1.5,40,F2,0,0,Cleveland,Near Noble
34,79-35,8/19/1979,1400,n/a,n/a,F0,0,0,Cleveland,Far SE Oklahoma City (SE 104 and Triple X)
35,81-20,5/17/1981,1646,4,100,F1,0,0,McClain/ Cleveland,3 SSW Noble
36,81-22,5/17/1981,1724,1,100,F1,0,0,Cleveland,Norman (SH-9 S of Lake Thunderbird)
37,81-63,6/30/1981,1520,0.3,5,F1,0,1,Cleveland,Norman
38,83-45,5/13/1983,2320,0.1,50,F0,0,0,Cleveland,3 N Lexington
39,83-85,11/18/1983,2250,0.2,15,F1,0,0,Cleveland,S Sections of Norman
40,84-38,5/27/1984,1745,6,100,F0,0,0,Cleveland/ McClain,3 S- 8 SSE Noble
41,88-4,3/28/1988,1720,0.1,30,F1,0,0,Cleveland,SW Oklahoma City
42,88-12,9/23/1988,1700,0.5,80,F1,0,0,Cleveland,4 ENE Noble (near 72nd/ Post Oak)
43,90-1,3/13/1990,1644,28,200,F2,0,1,Grady/ McClain/ Cleveland,1 W Bradley- Washington- Noble- 5 NE Noble
44,90-3,3/13/1990,1731,18,150,F2,0,0,McClain/ Cleveland,2 W Criner- 5 SE Noble
45,90-4,3/13/1990,1753,5,50,F1,0,0,Cleveland,Little River S.P.- 4 SW Stella
46,90-6,3/13/1990,1759,19,200,F2,0,1,Cleveland/ Pottawatomie/ Lincoln,1 SW Stella- Stella- 4 W Meeker
47,91-43,5/2/1991,1920,0.5,30,F1,0,0,Cleveland,Moore
48,,10/4/1998,1926,1.5,33,F0,0,0,McClain/ Cleveland,N Newcastle - SW OKC
49,,10/4/1998,1934,3,580,F2,0,0,Cleveland,Moore
50,,11/9/1998,2115,4.5,125,F1,0,0,McClain/ Cleveland,1.5 SW Purcell - Purcell - 1 NE Lexington
51,,5/3/1999,1726,38,1760,F5,36,583,Grady/ McClain/ Cleveland/ Oklahoma,2 SSW Amber - far N Newcastle - SW Oklahoma City - N Moore - S Del City - W Midwest City
52,,5/3/1999,1934,9,30,F1,0,0,Cleveland/ Pottawatomie,1 N Etowah - Pink - 2 NNE Pink
53,,5/4/1999,600,2,50,F0,0,0,Cleveland,southeast Oklahoma City (7 NNE - 9 NNE Norman; near SE149/Midwest Blvd)
54,,5/8/2003,1604,2.3,100,F0,0,0,Cleveland,SW Oklahoma City (NW of SW 149th and Penn - WNW of SW 134th and Santa Fe)
55,,5/8/2003,1610,17,700,F4,0,134,Cleveland/ Oklahoma,Moore - OKC (SE) - Midwest City (SE) - Choctaw (~1/2 mile N of SW 134th and Santa Fe to 1/2 mile ESE of Reno and Choctaw)
56,,6/9/2004,1635,0.3,20,F0,0,0,Cleveland,8 E Moore (SE edge of Lake Draper. near SE 140th between Westminster and E Stanley Draper Drive)
57,,5/7/2008,1621,5,25,EF0,0,0,McClain/ Cleveland,0.5 SE Goldsby - 1.5 N Noble
58,,5/13/2009,2141,0.5,80,EF0,0,0,Cleveland,West edge of Stanley Draper Lake
59,,6/12/2009,2123,2,200,EF1,0,0,Cleveland,Norman (SE24th/Alameda - SE48th/Lindsey)
